Timeout for one MILP instance: 600s
name;numVars;numCons;numIntVars;propIntVars;integerLP;minIntVars;maxIntVars;avgIntVars;avgVars;sizeObjFun;numNodes;numIntNodes;propIntNodes;numEdges;density;minDegree;maxDegree;avgDegree;tw_lb;tw_ub;td_ub;torso_lb;torso_ub;
./../input\benchmarks\vpphard.mps;no result;
zib54-UUE;5150;1809;81;0,0157;false;0.0;81.0;0.0;8.0;81;5150;81;0,0157;194679;0,0147;65;144;75,6035;258;946;0;0;0;
./../input\benchmarks\30n20b8.mps;no result;
acc-tight5;1339;3052;1339;1,0000;true;1.0;24.0;5.0;5.0;1;1339;1339;1,0000;40649;0,0454;17;86;60,7155;153;1016;0;0;0;
./../input\benchmarks\aflow40b.mps;no result;
./../input\benchmarks\air04.mps;no result;
app1-2;26871;53467;0;0,0000;false;0.0;0.0;0.0;3.0;266;26871;0;0,0000;467175;0,0013;2;13298;34,7717;269;269;0;0;0;
ash608gpia-3col;3651;24748;3651;1,0000;true;3.0;3.0;3.0;3.0;3;3651;3651;1,0000;30831;0,0046;4;1218;16,8891;92;506;0;0;0;
./../input\benchmarks\bab5.mps;no result;
beasleyC3;2500;1750;0;0,0000;false;0.0;0.0;0.0;3.0;1250;2500;0;0,0000;788604;0,2525;4;1250;630,8832;1249;1250;0;0;0;
./../input\benchmarks\biella1.mps;no result;
bienst2;505;576;35;0,0693;false;0.0;7.0;0.0;3.0;1;505;35;0,0693;6552;0,0515;8;56;25,9485;53;289;0;0;0;
binkar10_1;2298;1026;170;0,0740;false;0.0;170.0;0.0;6.0;1742;2298;170;0,0740;1519502;0,5757;4;1744;1322,4560;1741;1741;0;0;0;
./../input\benchmarks\bley_xl1.mps;no result;
bnatt350;3150;4923;3150;1,0000;true;1.0;9.0;3.0;3.0;1;3150;3150;1,0000;17903;0,0036;8;67;11,3670;33;147;0;0;0;
./../input\benchmarks\core2536-691.mps;no result;
cov1075;120;637;120;1,0000;true;10.0;120.0;22.0;22.0;120;120;120;1,0000;7140;1,0000;119;119;119,0000;119;119;0;0;0;
csched010;1758;351;1457;0,8288;false;0.0;57.0;16.0;18.0;50;1758;1457;0,8288;60984;0,0395;1;116;69,3788;167;677;0;0;0;
danoint;521;664;56;0,1075;false;0.0;7.0;1.0;4.0;1;521;56;0,1075;12888;0,0951;8;120;49,4741;96;287;0;0;0;
dfn-gwin-UUM;938;158;90;0,0959;false;0.0;90.0;1.0;17.0;91;938;90;0,0959;25452;0,0579;28;108;54,2687;105;669;0;0;0;
./../input\benchmarks\eil33.2.mps;no result;
eilB101;2818;100;2818;1,0000;true;61.0;2818.0;269.0;269.0;2818;2818;2818;1,0000;3969153;1,0000;2817;2817;2817,0000;2817;2817;0;0;0;
