name;numVars;numCons;numIntVars;propIntVars;integerLP;minIntVars;maxIntVars;avgIntVars;avgVars;numBoundVars;minCoeff;maxCoeff;sizeObjFun;numNodes;numIntNodes;propIntNodes;numEdges;density;minDegree;maxDegree;avgDegree;tw_lb;tw_ub;td_ub;torso_lb;torso_ub;
vpphard;51471;47280;51471;1,0000;true;0.0;260.0;7.0;7.0;51471;-1.0;1.0;46435;51471;51471;1,0000;1032516;-0,0013;0;533;40,1203;634;0;0;0;0;
zib54-UUE;5150;1809;81;0,0157;false;0.0;1.0;0.0;8.0;81;-2016.0;1.0;81;5150;81;0,0157;191439;0,0144;62;98;74,3452;254;0;0;0;0;
./../input\benchmarks\30n20b8.mps;no result;
acc-tight5;1339;3052;1339;1,0000;true;2.0;24.0;5.0;5.0;1339;-1.0;1.0;1;1339;1339;1,0000;40649;0,0454;17;86;60,7155;151;0;0;0;0;
aflow40b;2728;1442;1364;0,5000;false;0.0;38.0;1.0;4.0;2728;-100.0;1.0;1364;2728;1364;0,5000;115680;0,0311;30;146;84,8094;170;0;0;0;0;
air04;8904;823;8904;1,0000;true;2.0;368.0;88.0;88.0;8904;1.0;1.0;8904;8904;8904;1,0000;2112742;0,0533;30;1305;474,5602;1051;0;0;0;0;
app1-2;26871;53467;0;0,0000;false;0.0;0.0;0.0;3.0;0;-1.0;1.0;266;26871;0;0,0000;431930;0,0012;2;13298;32,1484;54;0;0;0;0;
ash608gpia-3col;3651;24748;3651;1,0000;true;3.0;3.0;3.0;3.0;3651;-1.0;1.0;3;3651;3651;1,0000;30828;0,0046;4;1216;16,8874;93;0;0;0;0;
./../input\benchmarks\bab5.mps;no result;
beasleyC3;2500;1750;0;0,0000;false;0.0;0.0;0.0;2.0;0;-82.0;1.0;1250;2500;0;0,0000;7979;0,0026;1;32;6,3832;33;0;0;0;0;
./../input\benchmarks\biella1.mps;no result;
bienst2;505;576;35;0,0693;false;0.0;7.0;0.0;3.0;56;-81.0;1.0;1;505;35;0,0693;6552;0,0515;8;56;25,9485;52;0;0;0;0;
binkar10_1;2298;1026;170;0,0740;false;0.0;17.0;0.0;4.0;170;-1.0;28.809999;1742;2298;170;0,0740;10415;0,0039;1;25;9,0644;40;0;0;0;0;
bley_xl1;5831;175620;5831;1,0000;true;1.0;92.0;4.0;4.0;5831;-1000000.0;1.0E8;126;5831;5831;1,0000;640524;0,0377;12;327;219,6961;462;0;0;0;0;
bnatt350;3150;4923;3150;1,0000;true;1.0;9.0;3.0;3.0;3150;-1.0;1.0;1;3150;3150;1,0000;17903;0,0036;8;67;11,3670;32;0;0;0;0;
./../input\benchmarks\core2536-691.mps;no result;
cov1075;120;637;120;1,0000;true;10.0;84.0;22.0;22.0;120;1.0;1.0;120;120;120;1,0000;7140;1,0000;119;119;119,0000;119;0;0;0;0;
csched010;1758;351;1457;0,8288;false;0.0;57.0;16.0;18.0;1758;-180.0;5.0;50;1758;1457;0,8288;59759;0,0387;1;116;67,9852;163;0;0;0;0;
danoint;521;664;56;0,1075;false;0.0;7.0;1.0;4.0;64;-66.5;62.69;1;521;56;0,1075;12888;0,0951;8;120;49,4741;97;0;0;0;0;
dfn-gwin-UUM;938;158;90;0,0959;false;0.0;2.0;0.0;16.0;0;-622.0;1.0;91;938;90;0,0959;21402;0,0487;0;53;45,6333;85;0;0;0;0;
./../input\benchmarks\eil33.2.mps;no result;
eilB101;2818;100;2818;1,0000;true;61.0;759.0;241.0;241.0;0;1.0;1.0;2818;2818;2818;1,0000;2040350;0,5141;60;2531;1448,0837;1418;0;0;0;0;
enlight13;338;169;338;1,0000;true;4.0;6.0;5.0;5.0;169;-2.0;1.0;169;338;338;1,0000;1679;0,0295;3;17;9,9349;15;0;0;0;0;
enlight14;392;196;392;1,0000;true;4.0;6.0;5.0;5.0;196;-2.0;1.0;196;392;392;1,0000;1962;0,0256;3;17;10,0102;15;0;0;0;0;
./../input\benchmarks\ex9.mps;no result;
glass4;322;396;302;0,9379;false;0.0;13.0;1.0;4.0;318;-8400000.0;1300.0;20;321;302;0,9408;2340;0,0456;7;94;14,5794;17;0;0;0;0;
gmu-35-40;1205;424;1200;0,9959;false;0.0;425.0;11.0;11.0;1200;-1395.293305;2574.3049;1050;842;837;0,9941;138020;0,3898;5;625;327,8385;424;0;0;0;0;
