name;numVars;numCons;numIntVars;propIntVars;integerLP;minIntVars;maxIntVars;avgIntVars;avgVars;numBoundVars;minCoeff;maxCoeff;sizeObjFun;numNodes;numIntNodes;propIntNodes;numEdges;density;minDegree;maxDegree;avgDegree;tw_lb;tw_ub;torso_lb;torso_ub;
acc-tight5;1339;3052;1339;1,00;true;2.0;24.0;5.0;5.0;0;-1.0;1.0;1;4391;1339;0,30;16134;0,00;2;34;7,35;80;0;0;0;
aflow40b;2728;1442;1364;0,50;false;0.0;38.0;1.0;4.0;0;-100.0;1.0;1364;4170;1364;0,33;6783;0,00;2;74;3,25;38;0;0;0;
beasleyC3;2500;1750;0;0,00;false;0.0;0.0;0.0;2.0;0;-82.0;1.0;1250;4250;0;0,00;5000;0,00;1;20;2,35;11;0;0;0;
bienst2;505;576;35;0,07;false;0.0;7.0;0.0;3.0;0;-81.0;1.0;1;1081;35;0,03;2184;0,00;2;56;4,04;26;0;0;0;
binkar10_1;2298;1026;170;0,07;false;0.0;17.0;0.0;4.0;0;-1.0;28.809999;1742;3324;170;0,05;4496;0,00;1;20;2,71;10;0;0;0;
cov1075;120;637;120;1,00;true;10.0;84.0;22.0;22.0;0;1.0;1.0;120;757;120;0,16;14280;0,05;10;119;37,73;95;0;0;0;
csched010;1758;351;1457;0,83;false;0.0;57.0;16.0;18.0;47;-180.0;5.0;50;2109;1457;0,69;6376;0,00;1;58;6,05;47;0;0;0;
danoint;521;664;56;0,11;false;0.0;7.0;1.0;4.0;8;-66.5;62.69;1;1185;56;0,05;3232;0,00;2;64;5,45;35;0;0;0;
dfn-gwin-UUM;938;158;90;0,10;false;0.0;2.0;0.0;16.0;0;-622.0;1.0;91;1096;90;0,08;2632;0,00;1;20;4,80;1;0;0;0;
eilB101;2818;100;2818;1,00;true;61.0;759.0;241.0;241.0;0;1.0;1.0;2818;2918;2818;0,97;24120;0,01;1;759;16,53;65;0;0;0;
enlight13;338;169;338;1,00;true;4.0;6.0;5.0;5.0;0;-2.0;1.0;169;507;338;0,67;962;0,01;1;6;3,79;10;0;0;0;
enlight14;392;196;392;1,00;true;4.0;6.0;5.0;5.0;0;-2.0;1.0;196;588;392;0,67;1120;0,01;1;6;3,81;11;0;0;0;
glass4;322;396;302;0,94;false;0.0;13.0;1.0;4.0;1;-8400000.0;1300.0;20;717;302;0,42;1815;0,01;2;90;5,06;17;0;0;0;
gmu-35-40;1205;424;1200;1,00;false;0.0;425.0;11.0;11.0;0;-1395.293305;2574.3049;1050;1266;837;0,66;4843;0,01;1;425;7,65;21;0;0;0;
m100n500k4r1;500;100;500;1,00;true;8.0;32.0;20.0;20.0;0;1.0;1.0;500;600;500;0,83;2000;0,01;4;32;6,67;35;0;0;0;
macrophage;2260;3164;2260;1,00;true;3.0;3.0;3.0;3.0;0;-1.0;1.0;1582;5424;2260;0,42;9492;0,00;2;72;3,50;3;0;0;0;
mcsched;1747;2107;1745;1,00;false;2.0;1575.0;3.0;3.0;14;-1000.0;1.0;1;3854;1745;0,45;8088;0,00;1;1577;4,20;27;0;0;0;
mik.250-1-100.1;251;151;250;1,00;false;0.0;52.0;34.0;35.0;0;-100.0;1985.0;251;402;250;0,62;5351;0,07;1;101;26,62;51;0;0;0;
n4-3;3596;1236;174;0,05;false;0.0;3.0;0.0;11.0;0;-255.0;1.0;3538;4832;174;0,04;14036;0,00;2;61;5,81;71;0;0;0;
neos-686190;3660;3664;3660;1,00;true;2.0;60.0;4.0;4.0;60;-1.0;69.0;3540;7324;3660;0,50;18085;0,00;2;117;4,94;94;0;0;0;
neos-1396125;1161;1494;129;0,11;false;0.0;30.0;1.0;3.0;0;-250.0;196.0;258;2655;129;0,05;5511;0,00;1;31;4,15;40;0;0;0;
newdano;505;576;56;0,11;false;0.0;7.0;0.0;3.0;0;-81.0;1.0;1;1081;56;0,05;2184;0,00;2;56;4,04;26;0;0;0;
noswot;128;182;100;0,78;false;2.0;25.0;2.0;4.0;0;-21.0;21.0;25;310;100;0,32;735;0,02;1;25;4,74;10;0;0;0;
ns1766074;100;182;90;0,90;false;1.0;9.0;1.0;3.0;0;-1.0;10.0;90;282;90;0,32;666;0,02;3;34;4,72;17;0;0;0;
opm2-z7-s2;2023;31798;2023;1,00;true;2.0;2023.0;2.0;2.0;0;-1.0;4094.0;1997;33821;2023;0,06;79762;0,00;2;2023;4,72;151;0;0;0;
pg5_34;2600;225;100;0,04;false;0.0;1.0;0.0;34.0;0;-1529.0;99.0;2600;2825;100;0,04;7700;0,00;2;100;5,45;26;0;0;0;
pigeon-10;490;931;400;0,82;false;4.0;12.0;7.0;8.0;0;-85.0;1000.0;100;1331;370;0,28;8180;0,01;2;78;12,29;55;0;0;0;
qiu;840;1192;48;0,06;false;0.0;1.0;0.0;2.0;0;-22.23;1.0;312;2032;48;0,02;3432;0,00;2;198;3,38;18;0;0;0;
ran16x16;512;288;256;0,50;false;0.0;1.0;0.0;3.0;0;-54.0;1.0;512;800;256;0,32;1024;0,00;1;16;2,56;16;0;0;0;
reblock67;670;2523;670;1,00;true;2.0;134.0;2.0;2.0;0;-6507.0;6507.0;670;3193;670;0,21;7495;0,00;2;134;4,69;43;0;0;0;
rococoC10-001000;3117;1293;3117;1,00;true;1.0;67.0;9.0;9.0;0;-34000.0;1.0;1;4410;3117;0,71;11751;0,00;1;67;5,33;1;0;0;0;
timtab1;397;171;171;0,43;false;1.0;1.0;1.0;4.0;13;-60.0;1.0;128;568;171;0,30;829;0,01;1;52;2,92;12;0;0;0;
