name;numVars;numCons;numIntVars;propIntVars;integerLP;minIntVars;maxIntVars;avgIntVars;avgVars;numBoundVars;minCoeff;maxCoeff;sizeObjFun;numNodes;numIntNodes;propIntNodes;numEdges;density;minDegree;maxDegree;avgDegree;tw_lb;tw_ub;td_lb;td_ub;torso_lb;torso_ub;numNodes;numIntNodes;propIntNodes;numEdges;density;minDegree;maxDegree;avgDegree;tw_lb;tw_ub;td_lb;td_ub;
./..\input\benchmarks\zib54-UUE.mps;no result;
./..\input\benchmarks\30n20b8.mps;no result;
acc-tight5;1339;3052;1339;1,00;true;2.0;24.0;5.0;5.0;1339;-1.0;1.0;1;1339;1339;1,0000;40649;0,0454;17;86;60,7155;153;1003;11;1282;0;0;4391;1339;0,3049;16134;0,0017;2;34;7,3487;80;898;10;2239;
aflow40b;2728;1442;1364;0,50;false;0.0;38.0;1.0;4.0;2728;-100.0;1.0;1364;2728;1364;0,5000;115680;0,0311;30;146;84,8094;172;878;12;2372;0;0;4170;1364;0,3271;6783;0,0008;2;74;3,2532;38;38;8;262;
./..\input\benchmarks\air04.mps;no result;
ash608gpia-3col;3651;24748;3651;1,00;true;3.0;3.0;3.0;3.0;3651;-1.0;1.0;3;3651;3651;1,0000;30828;0,0046;4;1216;16,8874;95;418;12;3148;0;0;28399;3651;0,1286;74244;0,0002;2;7844;5,2286;88;458;9;6321;
./..\input\benchmarks\bab5.mps;no result;
beasleyC3;2500;1750;0;0,00;false;0.0;0.0;0.0;2.0;0;-82.0;1.0;1250;2500;0;0,0000;7979;0,0026;1;32;6,3832;32;157;7;613;0;0;4250;0;0,0000;5000;0,0006;1;20;2,3529;11;30;5;293;
./..\input\benchmarks\biella1.mps;no result;
bienst2;505;576;35;0,07;false;0.0;7.0;0.0;3.0;56;-81.0;1.0;1;505;35;0,0693;6552;0,0515;8;56;25,9485;52;292;9;493;0;0;1081;35;0,0324;2184;0,0037;2;56;4,0407;26;87;8;334;
binkar10_1;2298;1026;170;0,07;false;0.0;17.0;0.0;4.0;170;-1.0;28.809999;1742;2298;170;0,0740;10415;0,0039;1;25;9,0644;41;149;9;570;0;0;3324;170;0,0511;4496;0,0008;1;20;2,7052;10;12;7;330;
bnatt350;3150;4923;3150;1,00;true;1.0;9.0;3.0;3.0;3150;-1.0;1.0;1;3150;3150;1,0000;17903;0,0036;8;67;11,3670;32;153;10;751;0;0;8073;3150;0,3902;19061;0,0006;1;84;4,7222;33;149;8;876;
./..\input\benchmarks\core2536-691.mps;no result;
cov1075;120;637;120;1,00;true;10.0;84.0;22.0;22.0;120;1.0;1.0;120;120;120;1,0000;7140;1,0000;119;119;119,0000;119;119;7;120;0;0;757;120;0,1585;14280;0,0499;10;119;37,7279;95;119;8;240;
csched010;1758;351;1457;0,83;false;0.0;57.0;16.0;18.0;1758;-180.0;5.0;50;1758;1457;0,8288;59759;0,0387;1;116;67,9852;163;619;11;1561;0;0;2109;1457;0,6908;6376;0,0029;1;58;6,0465;47;71;9;412;
